category1,category2,recommended
Cell_Phones_and_Accessories,Musical_Instruments,Grocery_and_Gourmet_Food
Cell_Phones_and_Accessories,Patio_Lawn_and_Garden,Sports_and_Outdoors
Cell_Phones_and_Accessories,Prime_Pantry,Tools_and_Home_Improvement
Cell_Phones_and_Accessories,Sports_and_Outdoors,Patio_Lawn_and_Garden
Cell_Phones_and_Accessories,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Cell_Phones_and_Accessories,Toys_and_Games,Tools_and_Home_Improvement
Cell_Phones_and_Accessories,Video_Games,Grocery_and_Gourmet_Food
Clothing_Shoes_and_Jewelry,Electronics,Patio_Lawn_and_Garden
Clothing_Shoes_and_Jewelry,Grocery_and_Gourmet_Food,Tools_and_Home_Improvement
Clothing_Shoes_and_Jewelry,Home_and_Kitchen,Automotive
Clothing_Shoes_and_Jewelry,Industrial_and_Scientific,Kindle_Store
Clothing_Shoes_and_Jewelry,Kindle_Store,Tools_and_Home_Improvement
Clothing_Shoes_and_Jewelry,Luxury_Beauty,Tools_and_Home_Improvement
Clothing_Shoes_and_Jewelry,Movies_and_TV,Tools_and_Home_Improvement
Clothing_Shoes_and_Jewelry,Musical_Instruments,Kindle_Store
Clothing_Shoes_and_Jewelry,Patio_Lawn_and_Garden,Electronics
Clothing_Shoes_and_Jewelry,Prime_Pantry,Electronics
Clothing_Shoes_and_Jewelry,Sports_and_Outdoors,Patio_Lawn_and_Garden
Clothing_Shoes_and_Jewelry,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Clothing_Shoes_and_Jewelry,Toys_and_Games,Tools_and_Home_Improvement
Clothing_Shoes_and_Jewelry,Video_Games,Tools_and_Home_Improvement
Electronics,Grocery_and_Gourmet_Food,Sports_and_Outdoors
Electronics,Home_and_Kitchen,Sports_and_Outdoors
Electronics,Industrial_and_Scientific,Luxury_Beauty
Electronics,Kindle_Store,Luxury_Beauty
Electronics,Luxury_Beauty,Kindle_Store
Electronics,Movies_and_TV,Patio_Lawn_and_Garden
Electronics,Musical_Instruments,Grocery_and_Gourmet_Food
Electronics,Patio_Lawn_and_Garden,Sports_and_Outdoors
Electronics,Prime_Pantry,Luxury_Beauty
Electronics,Sports_and_Outdoors,Patio_Lawn_and_Garden
Electronics,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Electronics,Toys_and_Games,Grocery_and_Gourmet_Food
Electronics,Video_Games,Luxury_Beauty
Grocery_and_Gourmet_Food,Home_and_Kitchen,Automotive
Grocery_and_Gourmet_Food,Industrial_and_Scientific,Luxury_Beauty
Grocery_and_Gourmet_Food,Kindle_Store,Automotive
Grocery_and_Gourmet_Food,Luxury_Beauty,Automotive
Grocery_and_Gourmet_Food,Movies_and_TV,Automotive
Grocery_and_Gourmet_Food,Musical_Instruments,Automotive
Grocery_and_Gourmet_Food,Patio_Lawn_and_Garden,Sports_and_Outdoors
Grocery_and_Gourmet_Food,Prime_Pantry,Automotive
Grocery_and_Gourmet_Food,Sports_and_Outdoors,Automotive
Grocery_and_Gourmet_Food,Tools_and_Home_Improvement,Toys_and_Games
Grocery_and_Gourmet_Food,Toys_and_Games,Tools_and_Home_Improvement
Grocery_and_Gourmet_Food,Video_Games,Automotive
Home_and_Kitchen,Industrial_and_Scientific,Kindle_Store
Home_and_Kitchen,Kindle_Store,Automotive
Home_and_Kitchen,Luxury_Beauty,Automotive
Home_and_Kitchen,Movies_and_TV,Automotive
Home_and_Kitchen,Musical_Instruments,Automotive
Home_and_Kitchen,Patio_Lawn_and_Garden,Sports_and_Outdoors
Home_and_Kitchen,Prime_Pantry,Automotive
Home_and_Kitchen,Sports_and_Outdoors,Automotive
Home_and_Kitchen,Tools_and_Home_Improvement,Cell_Phones_and_Accessories
Home_and_Kitchen,Toys_and_Games,Automotive
Home_and_Kitchen,Video_Games,Automotive
Industrial_and_Scientific,Kindle_Store,Clothing_Shoes_and_Jewelry
Industrial_and_Scientific,Luxury_Beauty,Clothing_Shoes_and_Jewelry
Industrial_and_Scientific,Movies_and_TV,Kindle_Store
Industrial_and_Scientific,Musical_Instruments,Kindle_Store
Industrial_and_Scientific,Patio_Lawn_and_Garden,Movies_and_TV
Industrial_and_Scientific,Prime_Pantry,Clothing_Shoes_and_Jewelry
Industrial_and_Scientific,Sports_and_Outdoors,Luxury_Beauty
Industrial_and_Scientific,Tools_and_Home_Improvement,Clothing_Shoes_and_Jewelry
Industrial_and_Scientific,Toys_and_Games,Luxury_Beauty
Industrial_and_Scientific,Video_Games,Luxury_Beauty
Kindle_Store,Luxury_Beauty,Automotive
Kindle_Store,Movies_and_TV,Tools_and_Home_Improvement
Kindle_Store,Musical_Instruments,Luxury_Beauty
Kindle_Store,Patio_Lawn_and_Garden,Sports_and_Outdoors
Kindle_Store,Prime_Pantry,Luxury_Beauty
Kindle_Store,Sports_and_Outdoors,Patio_Lawn_and_Garden
Kindle_Store,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Kindle_Store,Toys_and_Games,Tools_and_Home_Improvement
Kindle_Store,Video_Games,Luxury_Beauty
Luxury_Beauty,Movies_and_TV,Tools_and_Home_Improvement
Luxury_Beauty,Musical_Instruments,Kindle_Store
Luxury_Beauty,Patio_Lawn_and_Garden,Sports_and_Outdoors
Luxury_Beauty,Prime_Pantry,Electronics
Luxury_Beauty,Sports_and_Outdoors,Patio_Lawn_and_Garden
Luxury_Beauty,Tools_and_Home_Improvement,Prime_Pantry
Luxury_Beauty,Toys_and_Games,Tools_and_Home_Improvement
Luxury_Beauty,Video_Games,Automotive
Movies_and_TV,Musical_Instruments,Luxury_Beauty
Movies_and_TV,Patio_Lawn_and_Garden,Sports_and_Outdoors
Movies_and_TV,Prime_Pantry,Tools_and_Home_Improvement
Movies_and_TV,Sports_and_Outdoors,Patio_Lawn_and_Garden
Movies_and_TV,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Movies_and_TV,Toys_and_Games,Tools_and_Home_Improvement
Movies_and_TV,Video_Games,Luxury_Beauty
Musical_Instruments,Patio_Lawn_and_Garden,Sports_and_Outdoors
Musical_Instruments,Prime_Pantry,Automotive
Musical_Instruments,Sports_and_Outdoors,Patio_Lawn_and_Garden
Musical_Instruments,Tools_and_Home_Improvement,Toys_and_Games
Musical_Instruments,Toys_and_Games,Automotive
Musical_Instruments,Video_Games,Kindle_Store
Patio_Lawn_and_Garden,Prime_Pantry,Sports_and_Outdoors
Patio_Lawn_and_Garden,Sports_and_Outdoors,Toys_and_Games
Patio_Lawn_and_Garden,Tools_and_Home_Improvement,Toys_and_Games
Patio_Lawn_and_Garden,Toys_and_Games,Sports_and_Outdoors
Patio_Lawn_and_Garden,Video_Games,Sports_and_Outdoors
Prime_Pantry,Sports_and_Outdoors,Luxury_Beauty
Prime_Pantry,Tools_and_Home_Improvement,Clothing_Shoes_and_Jewelry
Prime_Pantry,Toys_and_Games,Tools_and_Home_Improvement
Prime_Pantry,Video_Games,Luxury_Beauty
Sports_and_Outdoors,Tools_and_Home_Improvement,Grocery_and_Gourmet_Food
Sports_and_Outdoors,Toys_and_Games,Patio_Lawn_and_Garden
Sports_and_Outdoors,Video_Games,Grocery_and_Gourmet_Food
Tools_and_Home_Improvement,Toys_and_Games,Grocery_and_Gourmet_Food
Tools_and_Home_Improvement,Video_Games,Grocery_and_Gourmet_Food
Toys_and_Games,Video_Games,Tools_and_Home_Improvement
